ind	experiment	pop
OST-02	Hiseq	13-LgIs-OST
OST-20	Hiseq	13-LgIs-OST
QNT-38	Hiseq	11-LgIs-QNT
SHM-01	Hiseq	10-LgIs-SHM
Brest-15-02	Hiseq	Brest-15
Brest-19-09	Hiseq	Brest-19
Brest-29-03	Hiseq	Brest-29
Brest-39-05	Hiseq	Brest-39
Bodo-01	Hiseq	Bodo
Bodo-04	Hiseq	Bodo
Bodo-08	Hiseq	Bodo
Holl-01	Hiseq	Holl
Holl-02	Hiseq	Holl
Ouis-02	Hiseq	Ouis
Revi-02	Hiseq	Revi
Brest-31-02	Hiseq	Brest-31
Brest-34-11	Hiseq	Brest-34
Prim-02	Hiseq	Prim
Prim-06	Hiseq	Prim
COR-04	Hiseq	COR
Her-17	Hiseq	Her
Th16-07	Hiseq	Th16
PEN-08	Hiseq	Peniche
RET-13	Hiseq	19-Retinskoye
Bizerte-19	Hiseq	Bizerte
Bizerte-23	Hiseq	Bizerte
StLau-TD-23	Hiseq	StLau-TD
JapSea-07	Hiseq	JapSea
RET-11	Hiseq	19-Retinskoye
JapSea-01	Hiseq	JapSea
QNT-03	Novaseq	11-LgIs-QNT
SHM-02	Novaseq	10-LgIs-SHM
Bodo-13	Novaseq	Bodo
Ouis-01	Novaseq	Ouis
Revi-01	Novaseq	Revi
Brest-18-10	Novaseq	Brest-18
Brest-21-06	Novaseq	Brest-21
COR-05	Novaseq	COR
PEN-01	Novaseq	Peniche
Her-19	Novaseq	Her
Th16-04	Novaseq	Th16
Mcalif-AK-08	Novaseq	AK
Mcalif-PB-41	Novaseq	PB
RET-01	Novaseq	19-Retinskoye
RET-14	Novaseq	19-Retinskoye
StLau-TD-27	Novaseq	StLau-TD
1-MySC_08	Novaseq_2	MySC
2-MySC_10	Novaseq_2	MySC
3-MySC_20	Novaseq_2	MySC
4-MySE_02	Novaseq_2	MySE
5-MySE_05	Novaseq_2	MySE
7-TRA_14	Novaseq_2	58-Trabzon
8-CrimeaC_01	Novaseq_2	CrimeaC
9-CrimeaC_03	Novaseq_2	CrimeaC
10-PlanTas_4596	Novaseq_2	PlanTas
11-PlanTas_4614	Novaseq_2	PlanTas
15-SEA_01	Novaseq_2	SEA_popphyl
16-SEA_03	Novaseq_2	SEA_popphyl
19-Gdansk_10	Novaseq_2	Gdansk
20-Gdansk_12	Novaseq_2	Gdansk
33-TRA_15	Novaseq_2	58-Trabzon
38-TVA_13	Novaseq_2	22-Tvarminne
40-TVA_17	Novaseq_2	22-Tvarminne
42-MyFal_10	Novaseq_2	MyFal
45-Gdansk_01	Novaseq_2	Gdansk
51-MyBQ_28	Novaseq_2	MyBQ
BBC1	ellis	BBC
BBC2	ellis	BBC
BBC3	ellis	BBC
BBC4	ellis	BBC
BBC5	ellis	BBC
BBC6	ellis	BBC
BBH1	ellis	BBH
BBH2	ellis	BBH
BBH3	ellis	BBH
BBH4	ellis	BBH
BBH5	ellis	BBH
BBH6	ellis	BBH
BO1	ellis	BO
BO3	ellis	BO
BO6	ellis	BO
BO7	ellis	BO
BO8	ellis	BO
BO9	ellis	BO
CAF121	ellis	CAF
CAF122	ellis	CAF
CAF123	ellis	CAF
CAF124	ellis	CAF
CAF125	ellis	CAF
CAF126	ellis	CAF
CC1	ellis	CC
CC2	ellis	CC
CC3	ellis	CC
CC4	ellis	CC
CC5	ellis	CC
CC6	ellis	CC
CH1	ellis	CH
CH2	ellis	CH
CH3	ellis	CH
CH4	ellis	CH
CH5	ellis	CH
CH6	ellis	CH
CRS91	ellis	CRS
CRS92	ellis	CRS
CRS93	ellis	CRS
CRS94	ellis	CRS
CRS95	ellis	CRS
CRS96	ellis	CRS
CSI61	ellis	CSI
CSI62	ellis	CSI
CSI63	ellis	CSI
CSI64	ellis	CSI
CSI65	ellis	CSI
CSI66	ellis	CSI
DDE2	ellis	DDE
DDE12	ellis	DDE
DDE13	ellis	DDE
DDE15	ellis	DDE
DDE20	ellis	DDE
DDE27	ellis	DDE
EX1	ellis	EX
EX2	ellis	EX
EX3	ellis	EX
EX4	ellis	EX
