ind	experiment	pop
OST-02	Hiseq	13-LgIs-OST
OST-20	Hiseq	13-LgIs-OST
QNT-38	Hiseq	11-LgIs-QNT
SHM-01	Hiseq	10-LgIs-SHM
Brest-15-02	Hiseq	Brest-15
Brest-19-09	Hiseq	Brest-19
Brest-29-03	Hiseq	Brest-29
Brest-39-05	Hiseq	Brest-39
Bodo-01	Hiseq	Bodo
Bodo-04	Hiseq	Bodo
Bodo-08	Hiseq	Bodo
Holl-01	Hiseq	Holl
Holl-02	Hiseq	Holl
Ouis-02	Hiseq	Ouis
Revi-02	Hiseq	Revi
Brest-31-02	Hiseq	Brest-31
Brest-34-11	Hiseq	Brest-34
Prim-02	Hiseq	Prim
Prim-06	Hiseq	Prim
COR-04	Hiseq	COR
Her-17	Hiseq	Her
Th16-07	Hiseq	Th16
PEN-08	Hiseq	Peniche
Jer-02	Hiseq	Jer
Jer-03	Hiseq	Jer
Jer-04	Hiseq	Jer
Jer-09	Hiseq	Jer
Jer-10	Hiseq	Jer
Jer-11	Hiseq	Jer
Jer-12	Hiseq	Jer
Jer-19	Hiseq	Jer
Jer-22	Hiseq	Jer
Jer-24	Hiseq	Jer
Jer-26	Hiseq	Jer
Jer-28	Hiseq	Jer
RET-13	Hiseq	19-Retinskoye
Bizerte-19	Hiseq	Bizerte
Bizerte-23	Hiseq	Bizerte
StLau-TD-23	Hiseq	StLau-TD
JapSea-07	Hiseq	JapSea
RET-11	Hiseq	19-Retinskoye
JapSea-01	Hiseq	JapSea
BergAR-88	Hiseq	Berg
Q13A-11	Hiseq	Q13A
Q13A-02	Hiseq	Q13A
Q13A-03	Hiseq	Q13A
Q13A-06	Hiseq	Q13A
Q13A-07	Hiseq	Q13A
Aber-50	Novaseq	Aber
Aber-52	Novaseq	Aber
Aber-53	Novaseq	Aber
Aber-54	Novaseq	Aber
Aber-59	Novaseq	Aber
Aber-61	Novaseq	Aber
Aber-62	Novaseq	Aber
Aber-64	Novaseq	Aber
Aber-72	Novaseq	Aber
Aber-75	Novaseq	Aber
Aber-78	Novaseq	Aber
Aber-79	Novaseq	Aber
Brest-1-02	Novaseq	Brest-1
Brest-15-08	Novaseq	Brest-15
Brest-16-04	Novaseq	Brest-16
Brest-19-06	Novaseq	Brest-19
Brest-21-07	Novaseq	Brest-21
Brest-22-01	Novaseq	Brest-22
Brest-38-03	Novaseq	Brest-38
Brest-19-10	Novaseq	Brest-19
Brest-20-04	Novaseq	Brest-20
Brest-22-11	Novaseq	Brest-22
Brest-23-05	Novaseq	Brest-23
Brest-27-11	Novaseq	Brest-27
Brest-36-03	Novaseq	Brest-36
Brest-36-06	Novaseq	Brest-36
Brest-38-07	Novaseq	Brest-38
Brest-39-04	Novaseq	Brest-39
Brest-42-06	Novaseq	Brest-42
Brest-45-10	Novaseq	Brest-45
Brest-46-01	Novaseq	Brest-46
Cher03-04	Novaseq	Cher03
Cher03-05	Novaseq	Cher03
Cher03-06	Novaseq	Cher03
Cher03-07	Novaseq	Cher03
Cher03-10	Novaseq	Cher03
Cher03-11	Novaseq	Cher03
Cher03-18	Novaseq	Cher03
Cher03-19	Novaseq	Cher03
Cher03-21	Novaseq	Cher03
Cher03-22	Novaseq	Cher03
Cher03-25	Novaseq	Cher03
Cher03-29	Novaseq	Cher03
Cher-A-01	Novaseq	Cher-A
Cher-A-02	Novaseq	Cher-A
Cher-B-01	Novaseq	Cher-B
Cher-B-09	Novaseq	Cher-B
Cher-C-02	Novaseq	Cher-C
Cher-D-10	Novaseq	Cher-D
Cher-E-11	Novaseq	Cher-E
Cher-E-12	Novaseq	Cher-E
Cher-F-02	Novaseq	Cher-F
Cher-F-08	Novaseq	Cher-F
Cher-G-01	Novaseq	Cher-G
Cher-G-07	Novaseq	Cher-G
Havre-B-08	Novaseq	Havre_B
Havre-C-06	Novaseq	Havre_C
Havre-E-05	Novaseq	Havre_E
Havre-F-11	Novaseq	Havre_F
Havre-G-13	Novaseq	Havre_G
Havre-J-08	Novaseq	Havre-J
LeHaP11-13	Novaseq	LeHaP11
