ind	experiment	pop	group	angsd_name
BO1	ellis	BO	Me_eu_north	ind164
BO3	ellis	BO	Me_eu_north	ind165
BO6	ellis	BO	Me_eu_north	ind166
BO7	ellis	BO	Me_eu_north	ind167
BO8	ellis	BO	Me_eu_north	ind168
BO9	ellis	BO	Me_eu_north	ind169
DDE12	ellis	DDE	Mg_med	ind170
DDE13	ellis	DDE	Mg_med	ind171
DDE15	ellis	DDE	Mg_med	ind172
DDE20	ellis	DDE	Mg_med	ind173
DDE27	ellis	DDE	Mg_med	ind174
DDE2	ellis	DDE	Mg_med	ind175
Fin1	ellis	Fin	Mt_balt	ind176
Fin2	ellis	Fin	Mt_balt	ind177
Fin3	ellis	Fin	Mt_balt	ind178
Fin4	ellis	Fin	Mt_balt	ind179
Fin5	ellis	Fin	Mt_balt	ind180
Fin6	ellis	Fin	Mt_balt	ind181
GR10	ellis	GR	Mg_med	ind182
GR14	ellis	GR	Mg_med	ind183
GR22	ellis	GR	Mg_med	ind184
GR2	ellis	GR	Mg_med	ind185
GR4	ellis	GR	Mg_med	ind186
GR7	ellis	GR	Mg_med	ind187
OA1	ellis	OA	Mt_pac	ind188
OA2	ellis	OA	Mt_pac	ind189
OA3	ellis	OA	Mt_pac	ind190
OA4	ellis	OA	Mt_pac	ind191
OA5	ellis	OA	Mt_pac	ind192
OA6	ellis	OA	Mt_pac	ind193
SW12	ellis	SW	Mt_balt	ind194
SW21	ellis	SW	Mt_balt	ind195
SW24	ellis	SW	Mt_balt	ind196
SW3	ellis	SW	Mt_balt	ind197
SW6	ellis	SW	Mt_balt	ind198
SW7	ellis	SW	Mt_balt	ind199
VG12	ellis	VG	Mg_atl_south	ind200
VG13	ellis	VG	Mg_atl_south	ind201
VG14	ellis	VG	Mg_atl_south	ind202
VG15	ellis	VG	Mg_atl_south	ind203
VG16	ellis	VG	Mg_atl_south	ind204
VG4	ellis	VG	Mg_atl_south	ind205
