ind	experiment	pop	group	angsd_name
OST-02	Hiseq	13-LgIs-OST	Me_am	ind0
OST-20	Hiseq	13-LgIs-OST	Me_am	ind1
QNT-38	Hiseq	11-LgIs-QNT	Me_am	ind2
SHM-01	Hiseq	10-LgIs-SHM	Me_am	ind3
Brest-15-02	Hiseq	Brest-15	Me_brest	ind4
Brest-19-09	Hiseq	Brest-19	Me_brest	ind5
Brest-29-03	Hiseq	Brest-29	Me_brest	ind6
Brest-39-05	Hiseq	Brest-39	Me_brest	ind7
Bodo-01	Hiseq	Bodo	Me_eu_north	ind8
Bodo-04	Hiseq	Bodo	Me_eu_north	ind9
Bodo-08	Hiseq	Bodo	Me_eu_north	ind10
Holl-01	Hiseq	Holl	Me_eu_south	ind11
Holl-02	Hiseq	Holl	Me_eu_south	ind12
Ouis-02	Hiseq	Ouis	Me_eu_south	ind13
Revi-02	Hiseq	Revi	Me_eu_south	ind14
Brest-31-02	Hiseq	Brest-31	Mg_atl_brit	ind15
Brest-34-11	Hiseq	Brest-34	Mg_atl_brit	ind16
Prim-02	Hiseq	Prim	Mg_atl_brit	ind17
Prim-06	Hiseq	Prim	Mg_atl_brit	ind18
COR-04	Hiseq	COR	Mg_atl_south	ind19
Her-17	Hiseq	Her	Mg_med	ind20
Th16-07	Hiseq	Th16	Mg_med	ind21
PEN-08	Hiseq	Peniche	Mg_atl_south	ind22
Jer-02	Hiseq	Jer	Jersey	ind23
Jer-03	Hiseq	Jer	Jersey	ind24
Jer-04	Hiseq	Jer	Jersey	ind25
Jer-09	Hiseq	Jer	Jersey	ind26
Jer-10	Hiseq	Jer	Jersey	ind27
Jer-11	Hiseq	Jer	Jersey	ind28
Jer-12	Hiseq	Jer	Jersey	ind29
Jer-19	Hiseq	Jer	Jersey	ind30
Jer-22	Hiseq	Jer	Jersey	ind31
Jer-24	Hiseq	Jer	Jersey	ind32
Jer-26	Hiseq	Jer	Jersey	ind33
Jer-28	Hiseq	Jer	Jersey	ind34
RET-13	Hiseq	19-Retinskoye	Me_eu_north	ind35
Bizerte-19	Hiseq	Bizerte	Mg_med	ind36
Bizerte-23	Hiseq	Bizerte	Mg_med	ind37
StLau-TD-23	Hiseq	StLau-TD	Mt_north	ind38
JapSea-07	Hiseq	JapSea	Mt_pac	ind39
RET-11	Hiseq	19-Retinskoye	Mt_north	ind40
JapSea-01	Hiseq	JapSea	Mt_pac	ind41
BergAR-88	Hiseq	Berg	Norway_admixed	ind42
Q13A-11	Hiseq	Q13A	Q13A	ind43
Q13A-02	Hiseq	Q13A	Q13A	ind44
Q13A-03	Hiseq	Q13A	Q13A	ind45
Q13A-06	Hiseq	Q13A	Q13A	ind46
Q13A-07	Hiseq	Q13A	Q13A	ind47
