ind	experiment	pop	group	angsd_name
Aber-50	Novaseq	Aber	Aberdeen	ind48
Aber-52	Novaseq	Aber	Aberdeen	ind49
Aber-53	Novaseq	Aber	Aberdeen	ind50
Aber-54	Novaseq	Aber	Aberdeen	ind51
Aber-59	Novaseq	Aber	Aberdeen	ind52
Aber-61	Novaseq	Aber	Aberdeen	ind53
Aber-62	Novaseq	Aber	Aberdeen	ind54
Aber-64	Novaseq	Aber	Aberdeen	ind55
Aber-72	Novaseq	Aber	Aberdeen	ind56
Aber-75	Novaseq	Aber	Aberdeen	ind57
Aber-78	Novaseq	Aber	Aberdeen	ind58
Aber-79	Novaseq	Aber	Aberdeen	ind59
Brest-1-02	Novaseq	Brest-1	Brest_admixed	ind60
Brest-15-08	Novaseq	Brest-15	Brest_admixed	ind61
Brest-16-04	Novaseq	Brest-16	Brest_admixed	ind62
Brest-19-06	Novaseq	Brest-19	Brest_admixed	ind63
Brest-21-07	Novaseq	Brest-21	Brest_admixed	ind64
Brest-22-01	Novaseq	Brest-22	Brest_admixed	ind65
Brest-38-03	Novaseq	Brest-38	Brest_admixed	ind66
Brest-19-10	Novaseq	Brest-19	Brest_port	ind67
Brest-20-04	Novaseq	Brest-20	Brest_port	ind68
Brest-22-11	Novaseq	Brest-22	Brest_port	ind69
Brest-23-05	Novaseq	Brest-23	Brest_port	ind70
Brest-27-11	Novaseq	Brest-27	Brest_port	ind71
Brest-36-03	Novaseq	Brest-36	Brest_port	ind72
Brest-36-06	Novaseq	Brest-36	Brest_port	ind73
Brest-38-07	Novaseq	Brest-38	Brest_port	ind74
Brest-39-04	Novaseq	Brest-39	Brest_port	ind75
Brest-42-06	Novaseq	Brest-42	Brest_port	ind76
Brest-45-10	Novaseq	Brest-45	Brest_port	ind77
Brest-46-01	Novaseq	Brest-46	Brest_port	ind78
Cher03-04	Novaseq	Cher03	Cherbourg_2003	ind79
Cher03-05	Novaseq	Cher03	Cherbourg_2003	ind80
Cher03-06	Novaseq	Cher03	Cherbourg_2003	ind81
Cher03-07	Novaseq	Cher03	Cherbourg_2003	ind82
Cher03-10	Novaseq	Cher03	Cherbourg_2003	ind83
Cher03-11	Novaseq	Cher03	Cherbourg_2003	ind84
Cher03-18	Novaseq	Cher03	Cherbourg_2003	ind85
Cher03-19	Novaseq	Cher03	Cherbourg_2003	ind86
Cher03-21	Novaseq	Cher03	Cherbourg_2003	ind87
Cher03-22	Novaseq	Cher03	Cherbourg_2003	ind88
Cher03-25	Novaseq	Cher03	Cherbourg_2003	ind89
Cher03-29	Novaseq	Cher03	Cherbourg_2003	ind90
Cher-A-01	Novaseq	Cher-A	Cherbourg_2017	ind91
Cher-A-02	Novaseq	Cher-A	Cherbourg_2017	ind92
Cher-B-01	Novaseq	Cher-B	Cherbourg_2017	ind93
Cher-B-09	Novaseq	Cher-B	Cherbourg_2017	ind94
Cher-C-02	Novaseq	Cher-C	Cherbourg_2017	ind95
Cher-D-10	Novaseq	Cher-D	Cherbourg_2017	ind96
Cher-E-11	Novaseq	Cher-E	Cherbourg_2017	ind97
Cher-E-12	Novaseq	Cher-E	Cherbourg_2017	ind98
Cher-F-02	Novaseq	Cher-F	Cherbourg_2017	ind99
Cher-F-08	Novaseq	Cher-F	Cherbourg_2017	ind100
Cher-G-01	Novaseq	Cher-G	Cherbourg_2017	ind101
Cher-G-07	Novaseq	Cher-G	Cherbourg_2017	ind102
Havre-B-08	Novaseq	Havre_B	Havre	ind103
Havre-C-06	Novaseq	Havre_C	Havre	ind104
Havre-E-05	Novaseq	Havre_E	Havre	ind105
Havre-F-11	Novaseq	Havre_F	Havre	ind106
Havre-G-13	Novaseq	Havre_G	Havre	ind107
Havre-J-08	Novaseq	Havre-J	Havre	ind108
LeHaP11-13	Novaseq	LeHaP11	Havre	ind109
LeHaP2-03	Novaseq	LeHaP2	Havre	ind110
LeHaP3-10	Novaseq	LeHaP3	Havre	ind111
LeHaP4-08	Novaseq	LeHaP4	Havre	ind112
LeHaP9-13	Novaseq	LeHaP9	Havre	ind113
QNT-03	Novaseq	11-LgIs-QNT	Me_am	ind114
SHM-02	Novaseq	10-LgIs-SHM	Me_am	ind115
Bodo-13	Novaseq	Bodo	Me_eu_north	ind116
Ouis-01	Novaseq	Ouis	Me_eu_south	ind117
Revi-01	Novaseq	Revi	Me_eu_south	ind118
Brest-18-10	Novaseq	Brest-18	Mg_atl_brit	ind119
Brest-21-06	Novaseq	Brest-21	Mg_atl_brit	ind120
COR-05	Novaseq	COR	Mg_atl_south	ind121
PEN-01	Novaseq	Peniche	Mg_atl_south	ind122
