ind	experiment	pop	group	angsd_name
1-MySC_08	Novaseq_2	MySC	Mch	ind144
2-MySC_10	Novaseq_2	MySC	Mch	ind145
3-MySC_20	Novaseq_2	MySC	Mch	ind146
4-MySE_02	Novaseq_2	MySE	Mch	ind147
5-MySE_05	Novaseq_2	MySE	Mch	ind148
7-TRA_14	Novaseq_2	58-Trabzon	Mg_blacksea	ind149
8-CrimeaC_01	Novaseq_2	CrimeaC	Mg_blacksea	ind150
9-CrimeaC_03	Novaseq_2	CrimeaC	Mg_blacksea	ind151
10-PlanTas_4596	Novaseq_2	PlanTas	Mpn_tas	ind152
11-PlanTas_4614	Novaseq_2	PlanTas	Mpn_tas	ind153
15-SEA_01	Novaseq_2	SEA_popphyl	Unassigned	ind154
16-SEA_03	Novaseq_2	SEA_popphyl	Mt_pac	ind155
19-Gdansk_10	Novaseq_2	Gdansk	Mt_balt	ind156
20-Gdansk_12	Novaseq_2	Gdansk	Mt_balt	ind157
33-TRA_15	Novaseq_2	58-Trabzon	Mg_blacksea	ind158
38-TVA_13	Novaseq_2	22-Tvarminne	Mt_balt	ind159
40-TVA_17	Novaseq_2	22-Tvarminne	Mt_balt	ind160
42-MyFal_10	Novaseq_2	MyFal	Mpt	ind161
45-Gdansk_01	Novaseq_2	Gdansk	Mt_balt	ind162
51-MyBQ_28	Novaseq_2	MyBQ	Mpt	ind163
