ind	experiment	pop	group	angsd_name
OST-02	Hiseq	OST	M edu America	ind0
OST-20	Hiseq	OST	M edu America	ind1
QNT-38	Hiseq	QNT	M edu America	ind2
SHM-01	Hiseq	SHM	M edu America	ind3
Brest-15-02	Hiseq	Brest-15	M edu Brest bay	ind4
Brest-19-09	Hiseq	Brest-19	M edu Brest bay	ind5
Brest-29-03	Hiseq	Brest-29	M edu Brest bay	ind6
Brest-39-05	Hiseq	Brest-39	M edu Brest bay	ind7
Bodo-01	Hiseq	Bodo	M edu Europe North	ind8
Bodo-04	Hiseq	Bodo	M edu Europe North	ind9
Bodo-08	Hiseq	Bodo	M edu Europe North	ind10
Holl-01	Hiseq	Hollande	M edu Europe South	ind11
Holl-02	Hiseq	Hollande	M edu Europe South	ind12
Ouis-02	Hiseq	Ouistreham	M edu Europe South	ind13
Revi-02	Hiseq	Reville	M edu Europe South	ind14
Brest-31-02	Hiseq	Brest-31	M galloprovincialis Atl Brittany	ind15
Brest-34-11	Hiseq	Brest-34	M galloprovincialis Atl Brittany	ind16
Prim-02	Hiseq	Primel	M galloprovincialis Atl Brittany	ind17
Prim-06	Hiseq	Primel	M galloprovincialis Atl Brittany	ind18
COR-04	Hiseq	Coruña	M galloprovincialis Atl South	ind19
Her-17	Hiseq	Heraklion	M galloprovincialis Med	ind20
Th16-07	Hiseq	Th16	M galloprovincialis Med	ind21
PEN-08	Hiseq	Peniche	M galloprovincialis Atl South	ind22
Jer-02	Hiseq	Jersey	Jersey	ind23
Jer-03	Hiseq	Jersey	Jersey	ind24
Jer-04	Hiseq	Jersey	Jersey	ind25
Jer-09	Hiseq	Jersey	Jersey	ind26
Jer-10	Hiseq	Jersey	Jersey	ind27
Jer-11	Hiseq	Jersey	Jersey	ind28
Jer-12	Hiseq	Jersey	Jersey	ind29
Jer-19	Hiseq	Jersey	Jersey	ind30
Jer-22	Hiseq	Jersey	Jersey	ind31
Jer-24	Hiseq	Jersey	Jersey	ind32
Jer-26	Hiseq	Jersey	Jersey	ind33
Jer-28	Hiseq	Jersey	Jersey	ind34
