ind	experiment	pop	group	angsd_name
OST-02	Hiseq	13-LgIs-OST	Medu_am	ind0
OST-20	Hiseq	13-LgIs-OST	Medu_am	ind1
QNT-38	Hiseq	11-LgIs-QNT	Medu_am	ind2
SHM-01	Hiseq	10-LgIs-SHM	Medu_am	ind3
Brest-15-02	Hiseq	Brest-15	Medu_brest	ind4
Brest-19-09	Hiseq	Brest-19	Medu_brest	ind5
Brest-29-03	Hiseq	Brest-29	Medu_brest	ind6
Brest-39-05	Hiseq	Brest-39	Medu_brest	ind7
Bodo-01	Hiseq	Bodo	Medu_eu_north	ind8
Bodo-04	Hiseq	Bodo	Medu_eu_north	ind9
Bodo-08	Hiseq	Bodo	Medu_eu_north	ind10
Holl-01	Hiseq	Holl	Medu_eu_south	ind11
Holl-02	Hiseq	Holl	Medu_eu_south	ind12
Ouis-02	Hiseq	Ouis	Medu_eu_south	ind13
Revi-02	Hiseq	Revi	Medu_eu_south	ind14
Brest-31-02	Hiseq	Brest-31	Mgallo_atl_brit	ind15
Brest-34-11	Hiseq	Brest-34	Mgallo_atl_brit	ind16
Prim-02	Hiseq	Prim	Mgallo_atl_brit	ind17
Prim-06	Hiseq	Prim	Mgallo_atl_brit	ind18
COR-04	Hiseq	COR	Mgallo_atl_south	ind19
Her-17	Hiseq	Her	Mgallo_med	ind20
Th16-07	Hiseq	Th16	Mgallo_med	ind21
PEN-08	Hiseq	Peniche	Mgallo_atl_south	ind22
RET-13	Hiseq	19-Retinskoye	Medu_eu_north	ind35
Bizerte-19	Hiseq	Bizerte	Mgallo_med	ind36
Bizerte-23	Hiseq	Bizerte	Mgallo_med	ind37
StLau-TD-23	Hiseq	StLau-TD	Mtros	ind38
JapSea-07	Hiseq	JapSea	Mtros	ind39
RET-11	Hiseq	19-Retinskoye	Mtros	ind40
JapSea-01	Hiseq	JapSea	Mtros	ind41
QNT-03	Novaseq	11-LgIs-QNT	Medu_am	ind114
SHM-02	Novaseq	10-LgIs-SHM	Medu_am	ind115
Bodo-13	Novaseq	Bodo	Medu_eu_north	ind116
Ouis-01	Novaseq	Ouis	Medu_eu_south	ind117
Revi-01	Novaseq	Revi	Medu_eu_south	ind118
Brest-18-10	Novaseq	Brest-18	Mgallo_atl_brit	ind119
Brest-21-06	Novaseq	Brest-21	Mgallo_atl_brit	ind120
COR-05	Novaseq	COR	Mgallo_atl_south	ind121
PEN-01	Novaseq	Peniche	Mgallo_atl_south	ind122
Her-19	Novaseq	Her	Mgallo_med	ind123
Th16-04	Novaseq	Th16	Mgallo_med	ind124
Mcalif-AK-08	Novaseq	AK	Mcalif	ind136
Mcalif-PB-41	Novaseq	PB	Mcalif	ind137
RET-01	Novaseq	19-Retinskoye	Medu_eu_north	ind138
RET-14	Novaseq	19-Retinskoye	Mtros	ind139
StLau-TD-27	Novaseq	StLau-TD	Mtros	ind140
1642-AF-101	Mgallo	Carlos_atl	Mgallo_atl_south	ind144
1642-AF-102	Mgallo	Carlos_atl	Mgallo_atl_south	ind145
1642-AF-103	Mgallo	Carlos_atl	Mgallo_atl_south	ind146
1642-AF-104	Mgallo	Carlos_atl	Mgallo_atl_south	ind147
1642-AF-105	Mgallo	Carlos_atl	Mgallo_atl_south	ind148
1642-AF-106	Mgallo	Carlos_atl	Mgallo_atl_south	ind149
1642-AF-107	Mgallo	Carlos_med	Mgallo_med	ind150
1642-AF-108	Mgallo	Carlos_med	Mgallo_med	ind151
1642-AF-109	Mgallo	Carlos_med	Mgallo_med	ind152
1642-AF-110	Mgallo	Carlos_med	Mgallo_med	ind153
1642-AF-111	Mgallo	Carlos_med	Mgallo_med	ind154
1642-AF-112	Mgallo	Carlos_med	Mgallo_med	ind155
1-MySC_08	Novaseq_2	MySC	Mchil	ind156
2-MySC_10	Novaseq_2	MySC	Mchil	ind157
3-MySC_20	Novaseq_2	MySC	Mchil	ind158
4-MySE_02	Novaseq_2	MySE	Mchil	ind159
5-MySE_05	Novaseq_2	MySE	Mchil	ind160
7-TRA_14	Novaseq_2	58-Trabzon	Mgallo_blacksea	ind161
8-CrimeaC_01	Novaseq_2	CrimeaC	Mgallo_blacksea	ind162
9-CrimeaC_03	Novaseq_2	CrimeaC	Mgallo_blacksea	ind163
10-PlanTas_4596	Novaseq_2	PlanTas	Mplan_tas	ind164
11-PlanTas_4614	Novaseq_2	PlanTas	Mplan_tas	ind165
15-SEA_01	Novaseq_2	SEA_popphyl	Mtros_pac	ind166
16-SEA_03	Novaseq_2	SEA_popphyl	Mtros_pac	ind167
19-Gdansk_10	Novaseq_2	Gdansk	Mtros_balt	ind168
20-Gdansk_12	Novaseq_2	Gdansk	Mtros_balt	ind169
33-TRA_15	Novaseq_2	58-Trabzon	Mgallo_blacksea	ind170
38-TVA_13	Novaseq_2	22-Tvarminne	Mtros_balt	ind171
40-TVA_17	Novaseq_2	22-Tvarminne	Mtros_balt	ind172
42-MyFal_10	Novaseq_2	MyFal	Mplat	ind173
45-Gdansk_01	Novaseq_2	Gdansk	Mtros_balt	ind174
51-MyBQ_28	Novaseq_2	MyBQ	Mplat	ind175
